disease	sampletype	gene_a	refseq_a	chr_a	position_a	gene_b	refseq_b	chr_b	position_b	Discordant_readcount	TARGET_CASE_ID	strand_a	strand_b
ALL	relapse	CBL	NM_005188	chr11	119148987	CBL	NM_005188	chr11	119154648	12	10-PAPCVZ	+	+
ALL	relapse	GRIN2A	NM_000833	chr16	9971600			chr16	33953141	18	10-PAPCVZ	-	+
ALL	diagnosis	SORCS2	NM_020777	chr4	7726333			chr21	44632607	3	10-PAPCVZ	-	-
ALL	diagnosis	WISP1	NM_003882	chr8	134206503			chr21	43005637	3	10-PAPCVZ	-	+
ALL	diagnosis	CBL	NM_005188	chr11	119148993	CBL	NM_005188	chr11	119154379	14	10-PAPCVZ	+	+
ALL	diagnosis	GRIN2A	NM_000833	chr16	9971600			chr16	33953170	12	10-PAPCVZ	-	+
ALL	diagnosis	TP53	NM_000546	chr17	7578710	TP53	NM_000546	chr17	7582099	3	10-PAPCVZ	+	+
ALL	diagnosis	SLC7A9	NM_001126335	chr19	33356874			chr21	15450922	11	10-PAPCVZ	+	+
ALL	diagnosis			chr21	44682755	MPPED1	NM_001044370	chr22	43892792	4	10-PAPCVZ	-	-
ALL	relapse	PAX5	NM_016734	chr9	36897186	PAX5	NM_016734	chr9	36952126	7	10-PAPDJM	+	+
ALL	relapse	CCDC91	NM_018318	chr12	28416217			chr17	62410567	3	10-PAPDJM	+	-
ALL	relapse	KANSL1	NM_001193465	chr17	44283049	KANSL1	NM_001193465	chr17	44286378	19	10-PAPDJM	-	-
ALL	relapse	LOXHD1	NM_001145472	chr18	44126239			chrY	13196421	3	10-PAPDJM	-	-
ALL	relapse	FUT3	NM_000149	chr19	5849794			chr19	5851953	24	10-PAPDJM	-	-
ALL	diagnosis	FUT3	NM_000149	chr19	5849795			chr19	5851954	20	10-PAPDJM	-	-
ALL	relapse	TBL1XR1	NM_024665	chr3	176914084			chr3	177169943	61	10-PAPDKJ	+	+
ALL	relapse	FBXW7	NM_001013415	chr4	153272928	TLR2	NM_003264	chr4	154606185	59	10-PAPDKJ	+	+
ALL	relapse	BACH2	NM_001170794	chr6	90722414			chr6	132555940	9	10-PAPDKJ	+	+
ALL	relapse	WAC-AS1	NR_033805	chr10	28821258			chr10	28926411	68	10-PAPDKJ	+	+
ALL	relapse	ADAMTS14	NM_080722	chr10	72448656			chr15	92293301	6	10-PAPDKJ	-	-
ALL	relapse			chr11	106494347	RBM7	NM_016090	chr11	114276443	50	10-PAPDKJ	+	+
ALL	relapse	ETV6	NM_001987	chr12	11978831			chr12	12209727	35	10-PAPDKJ	+	-
ALL	relapse	ETV6	NM_001987	chr12	12025128	RUNX1	NM_001001890	chr21	36259966	100	10-PAPDKJ	+	-
ALL	relapse			chr15	41151285	TMEM87A	NM_001110503	chr15	42552712	49	10-PAPDKJ	+	+
ALL	relapse	UHRF1	NM_001048201	chr19	4914826	KDM4B	NM_015015	chr19	5019193	15	10-PAPDKJ	+	+
ALL	relapse	NRIP1	NM_003489	chr21	16434811			chr21	16598925	101	10-PAPDKJ	+	+
ALL	diagnosis			chr1	168316428	NPM2	NM_182795	chr8	21883765	6	10-PAPDKJ	+	-
ALL	diagnosis	TBL1XR1	NM_024665	chr3	176914084			chr3	177169943	59	10-PAPDKJ	+	+
ALL	diagnosis	FBXW7	NM_001013415	chr4	153272928	TLR2	NM_003264	chr4	154606185	62	10-PAPDKJ	+	+
ALL	diagnosis	BACH2	NM_001170794	chr6	90722414			chr6	132555940	18	10-PAPDKJ	+	+
ALL	diagnosis	WAC-AS1	NR_033805	chr10	28821258			chr10	28926411	67	10-PAPDKJ	+	+
ALL	diagnosis	RAG1	NM_000448	chr11	36599122	C11orf74	NM_138787	chr11	36638063	16	10-PAPDKJ	+	+
ALL	diagnosis	TAS2R10	NM_023921	chr12	10978866	EPS8	NM_004447	chr12	15854231	14	10-PAPDKJ	+	+
ALL	diagnosis			chr12	10978907	EPS8	NM_004447	chr12	15854345	7	10-PAPDKJ	-	+
ALL	diagnosis	ETV6	NM_001987	chr12	11978710			chr12	12209756	14	10-PAPDKJ	+	-
ALL	diagnosis	ETV6	NM_001987	chr12	12025128	RUNX1	NM_001001890	chr21	36259966	109	10-PAPDKJ	+	-
ALL	diagnosis			chr15	40725803	TMEM87A	NM_015497	chr15	42549976	12	10-PAPDKJ	+	+
ALL	diagnosis	PLA2G4F	NM_213600	chr15	42447067			chr15	92181484	10	10-PAPDKJ	-	+
ALL	diagnosis			chr19	1351988	RFX2	NM_000635	chr19	5994178	7	10-PAPDKJ	+	+
ALL	diagnosis	UHRF1	NM_001048201	chr19	4914826	KDM4B	NM_015015	chr19	5019182	17	10-PAPDKJ	+	+
ALL	diagnosis	NRIP1	NM_003489	chr21	16434811			chr21	16598925	37	10-PAPDKJ	+	+
ALL	diagnosis			chr8	144016844	GNAS-AS1	NR_002785	chr20	57405292	7	10-PAPDNB	+	+
ALL	diagnosis			chr1	156040630	PARP1	NM_001618	chr1	226550494	7	10-PAPDUF	-	-
ALL	diagnosis	LINC00299	NR_034135	chr2	8427194	ID2	NM_002166	chr2	8823021	115	10-PAPDUF	+	+
ALL	diagnosis	SORCS2	NM_020777	chr4	7726511			chr6	157559236	3	10-PAPDUF	-	-
ALL	diagnosis	RALYL	NM_001100391	chr8	85177894			chr10	122156609	15	10-PAPDUF	-	-
ALL	diagnosis	SPTB	NM_000347	chr14	65288987	SPTB	NM_000347	chr14	65289092	35	10-PAPDUF	-	+
ALL	diagnosis	GALR1	NM_001480	chr18	74971620			chr21	44682804	3	10-PAPDUF	+	+
ALL	diagnosis			chr20	52177623	ZNF217	NM_006526	chr20	52186789	27	10-PAPDUF	+	+
ALL	relapse	C1orf194	NM_001122961	chr1	109650580	UQCR10	NM_001003684	chr22	30165915	19	10-PAPDUV	+	-
ALL	relapse			chr3	73160305	BTRC	NM_003939	chr10	103124629	13	10-PAPDUV	+	-
ALL	relapse			chr5	158085541	FOXO3	NM_001455	chr6	108899236	74	10-PAPDUV	-	-
ALL	relapse			chr5	158085545	EBF1	NM_024007	chr5	158346907	81	10-PAPDUV	+	+
ALL	relapse	EBF1	NM_024007	chr5	158347011	FOXO3	NM_001455	chr6	108899129	70	10-PAPDUV	+	+
ALL	relapse	IKZF1	NM_006060	chr7	50412879	IKZF1	NM_006060	chr7	50463662	32	10-PAPDUV	+	+
ALL	relapse			chr10	69609055	ITPR2	NM_002223	chr12	26718900	9	10-PAPDUV	-	-
ALL	relapse	HYDIN	NM_017558	chr16	71171435	HYDIN	NM_017558	chr16	71188797	8	10-PAPDUV	+	-
ALL	relapse			chr21	21953728	LINC00320	NR_024090	chr21	22129802	43	10-PAPDUV	+	-
ALL	relapse	NCAM2	NM_004540	chr21	22380098			chr21	22926698	30	10-PAPDUV	-	-
ALL	relapse			chr21	43490403	UMODL1	NM_001004416	chr21	43493342	218	10-PAPDUV	+	-
ALL	diagnosis	AGAP1	NM_001037131	chr2	236908082			chr4	8818238	11	10-PAPDUV	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412893	IKZF1	NM_006060	chr7	50463629	34	10-PAPDUV	+	+
ALL	diagnosis			chr16	33952941	CDKL5	NM_001037343	chrX	18644791	6	10-PAPDUV	-	+
ALL	diagnosis	HYDIN	NM_017558	chr16	71171435	HYDIN	NM_017558	chr16	71188797	9	10-PAPDUV	+	-
ALL	diagnosis			chr21	20428397	LINC00320	NR_024090	chr21	22129821	16	10-PAPDUV	-	+
ALL	diagnosis	NCAM2	NM_004540	chr21	22380066			chr21	22926715	33	10-PAPDUV	-	-
ALL	diagnosis			chr21	43490403	UMODL1	NM_001004416	chr21	43493342	158	10-PAPDUV	+	-
ALL	diagnosis	ZBED1	NM_001171135	chrX	2418104			chrX	2470997	8	10-PAPDUV	+	+
ALL	relapse	RYR2	NM_001035	chr1	237566103	RYR2	NM_001035	chr1	237566207	6	10-PAPDWT	-	+
ALL	relapse			chr9	111453251	FAM78A	NM_033387	chr9	134142939	7	10-PAPDWT	+	+
ALL	relapse	FPGS	NM_001018078	chr9	130572970	FNBP1	NM_015033	chr9	132692198	20	10-PAPDWT	+	+
ALL	diagnosis	EBF1	NM_024007	chr5	158445464			chr5	158528096	6	10-PAPDWT	+	+
ALL	diagnosis	BAI1	NM_001702	chr8	143583604			chr21	44682875	4	10-PAPDWT	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	36856947	PAX5	NM_016734	chr9	36932645	9	10-PAPDWT	+	+
ALL	diagnosis	PUS1	NM_001002019	chr12	132418883			chr17	41401153	11	10-PAPDWT	-	-
ALL	diagnosis			chr2	133029420	ABL1	NM_007313	chr9	133637508	3	10-PAPEAB	+	-
ALL	relapse	SNTG2	NM_018968	chr2	1255489			chr21	43005730	3	10-PAPEAB	+	+
ALL	relapse	IFT172	NM_015662	chr2	27696678			chr2	133031628	22	10-PAPEAB	-	+
ALL	relapse	SORBS1	NM_001034954	chr10	97104494	HPSE2	NM_001166244	chr10	100577373	49	10-PAPEAB	+	+
ALL	relapse	DOK7	NM_001164673	chr4	3492774	DOK7	NM_001164673	chr4	3494620	25	10-PAPECF	+	+
ALL	relapse	ARHGAP10	NM_024605	chr4	148792939	ARHGAP10	NM_024605	chr4	148808855	11	10-PAPECF	-	-
ALL	relapse	ARHGAP10	NM_024605	chr4	148793736			chr4	149426255	40	10-PAPECF	+	+
ALL	relapse	NR3C2	NM_000901	chr4	149362522			chr4	149889494	10	10-PAPECF	+	+
ALL	relapse	NSD1	NM_022455	chr5	176721197	MXD3	NM_001142935	chr5	176738697	48	10-PAPECF	+	+
ALL	relapse	NUPL2	NM_007342	chr7	23225468			chr18	11154634	48	10-PAPECF	-	-
ALL	relapse	NUPL2	NM_007342	chr7	23225580	KRAS	NM_004985	chr12	25393782	9	10-PAPECF	+	+
ALL	relapse	TOX	NM_014729	chr8	60031517			chr8	60674082	20	10-PAPECF	+	+
ALL	relapse			chr9	21965086	CDKN2B	NM_004936	chr9	22008332	11	10-PAPECF	+	+
ALL	relapse	RAG1	NM_000448	chr11	36601032	C11orf74	NM_138787	chr11	36638034	33	10-PAPECF	+	+
ALL	relapse	ETV6	NM_001987	chr12	12029929	RUNX1	NM_001754	chr21	36393321	140	10-PAPECF	+	-
ALL	relapse			chr12	92280264	BTG1	NM_001731	chr12	92538141	9	10-PAPECF	+	+
ALL	relapse	RB1	NM_000321	chr13	48984559	RCBTB2	NM_001268	chr13	49068970	18	10-PAPECF	+	+
ALL	relapse			chr18	11154384	RUNX1	NM_001754	chr21	36393311	91	10-PAPECF	-	+
ALL	relapse			chr20	10415652	SLX4IP	NM_001009608	chr20	10520912	74	10-PAPECF	+	+
ALL	relapse	EFHC2	NM_025184	chrX	44030141	KDM6A	NM_021140	chrX	44733792	14	10-PAPECF	+	+
ALL	relapse			chrX	44731535	KDM6A	NM_021140	chrX	44891451	51	10-PAPECF	+	+
ALL	diagnosis	CD200	NM_001004196	chr3	112053940	BTLA	NM_001085357	chr3	112218353	6	10-PAPECF	+	+
ALL	diagnosis	NUPL2	NM_007342	chr7	23225580	KRAS	NM_004985	chr12	25393782	10	10-PAPECF	+	+
ALL	diagnosis	ADARB2	NM_018702	chr10	1248206	ADARB2	NM_018702	chr10	1317789	19	10-PAPECF	-	-
ALL	diagnosis	ETV6	NM_001987	chr12	12029929	RUNX1	NM_001754	chr21	36393321	75	10-PAPECF	+	-
ALL	diagnosis			chr18	11154384	RUNX1	NM_001754	chr21	36393311	72	10-PAPECF	-	+
ALL	diagnosis	COL8A1	NM_001850	chr3	99458418	COL8A1	NM_001850	chr3	99459329	16	10-PAPEJN	-	+
ALL	diagnosis	COL8A1	NM_001850	chr3	99458962	SIAH2	NM_005067	chr3	150473937	7	10-PAPEJN	+	-
ALL	diagnosis	FILIP1L	NM_001042459	chr3	99641777			chr3	104164512	7	10-PAPEJN	+	-
ALL	diagnosis	SENP7	NM_001077203	chr3	101211414	ARHGEF26	NM_015595	chr3	153854875	58	10-PAPEJN	-	-
ALL	diagnosis	SENP7	NM_001077203	chr3	101218524			chr5	139168731	94	10-PAPEJN	+	+
ALL	diagnosis	PCNP	NM_020357	chr3	101299643	PCNP	NM_020357	chr3	101300550	5	10-PAPEJN	-	+
ALL	diagnosis	PCNP	NM_020357	chr3	101300264			chr3	193918319	59	10-PAPEJN	+	+
ALL	diagnosis			chr3	104151794	GPX8	NM_001008397	chr5	54458835	73	10-PAPEJN	+	-
ALL	diagnosis	CD96	NM_005816	chr3	111271362	HERC3	NM_014606	chr4	89613051	76	10-PAPEJN	-	+
ALL	diagnosis	CFAP44	NM_001164496	chr3	113097091			chr3	167850779	12	10-PAPEJN	-	+
ALL	diagnosis	PXYLP1	NM_001037172	chr3	140998346	XRN1	NM_001042604	chr3	142074474	9	10-PAPEJN	+	+
ALL	diagnosis			chr3	166893156	HERC3	NM_014606	chr4	89609247	64	10-PAPEJN	+	-
ALL	diagnosis			chr3	187316989	SNCAIP	NM_005460	chr5	121680893	133	10-PAPEJN	+	-
ALL	diagnosis			chr3	193419836	KCTD16	NM_020768	chr5	143618872	113	10-PAPEJN	+	+
ALL	diagnosis			chr4	56806479	ANO2	NM_020373	chr12	5951846	108	10-PAPEJN	+	-
ALL	diagnosis	ARHGAP10	NM_024605	chr4	148698709	PTPRO	NM_002848	chr12	15591736	18	10-PAPEJN	+	+
ALL	diagnosis	SKIV2L2	NM_015360	chr5	54649007	A2M	NM_000014	chr12	9257153	15	10-PAPEJN	+	+
ALL	diagnosis	FGF1	NM_000800	chr5	142032300	KCTD16	NM_020768	chr5	143631015	96	10-PAPEJN	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	36985142	PAX5	NM_016734	chr9	37030795	3	10-PAPEJN	+	+
ALL	diagnosis	FAM107B	NM_031453	chr10	14645020	CDNF	NM_001029954	chr10	14865282	81	10-PAPEJN	+	+
ALL	diagnosis	NT5C2	NM_001134373	chr10	104924407	NT5C2	NM_001134373	chr10	104952369	12	10-PAPEJN	+	+
ALL	diagnosis	RAG1	NM_000448	chr11	36599066	C11orf74	NM_138787	chr11	36638080	11	10-PAPEJN	+	+
ALL	diagnosis	RAG2	NM_000536	chr11	36619737	C11orf74	NM_138787	chr11	36641694	58	10-PAPEJN	+	+
ALL	diagnosis	ETV6	NM_001987	chr12	12026037	RUNX1	NM_001754	chr21	36305855	116	10-PAPEJN	-	+
ALL	diagnosis	MAPK10	NM_002753	chr4	86983387	MAPK10	NM_002753	chr4	86988722	13	10-PAPESW	+	+
ALL	diagnosis	FAM20C	NM_020223	chr7	299577			chr10	98561482	4	10-PAPESW	+	-
ALL	diagnosis	CDC37L1	NM_017913	chr9	4693292	BNC2	NM_017637	chr9	16537040	12	10-PAPESW	+	+
ALL	diagnosis			chr9	11983102	BNC2	NM_017637	chr9	16490516	14	10-PAPESW	-	+
ALL	diagnosis	BNC2	NM_017637	chr9	16496600			chr9	25411586	9	10-PAPESW	+	+
ALL	diagnosis	BNC2	NM_017637	chr9	16536802	BNC2	NM_017637	chr9	16569930	18	10-PAPESW	+	-
ALL	diagnosis	PHIP	NM_017934	chr6	79786660			chr6	79830191	69	10-PAPEWB	+	+
ALL	diagnosis	ABCA13	NM_152701	chr7	48231433			chr7	55958444	15	10-PAPEWB	+	+
ALL	diagnosis	MLLT3	NM_004529	chr9	20605168			chr9	67642390	5	10-PAPEWB	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21825190	CDKN2B-AS1	NR_003529	chr9	22104324	11	10-PAPEWB	+	+
ALL	diagnosis	CBL	NM_005188	chr11	119148716	CBL	NM_005188	chr11	119149979	15	10-PAPEWB	+	+
ALL	diagnosis	KIAA1024	NM_015206	chr15	79752449	LINC00923	NR_024172	chr15	98392696	92	10-PAPEWB	+	+
ALL	diagnosis			chr18	2647846	ANKRD12	NM_001083625	chr18	9190452	52	10-PAPEWB	+	+
ALL	diagnosis	ANKRD12	NM_001083625	chr18	9190452			chr18	11378681	64	10-PAPEWB	+	+
ALL	diagnosis	CCDC178	NM_001105528	chr18	30576798	TPGS2	NM_015476	chr18	34390115	55	10-PAPEWB	+	+
ALL	diagnosis	CCDC178	NM_001105528	chr18	30576798			chr18	38207658	63	10-PAPEWB	-	+
ALL	diagnosis	TPGS2	NM_015476	chr18	34390089			chr18	36061352	55	10-PAPEWB	+	-
ALL	diagnosis			chr20	10415654	SLX4IP	NM_001009608	chr20	10456204	75	10-PAPEWB	+	+
ALL	diagnosis			chrX	1333749	P2RY8	NM_178129	chrX	1654733	64	10-PAPEWB	+	+
ALL	diagnosis	ZMYM6	NM_007167	chr1	35496668			chr1	35637080	84	10-PAPFWH	+	+
ALL	diagnosis			chr1	68155514	GNG12	NM_018841	chr1	68219547	136	10-PAPFWH	+	+
ALL	diagnosis	SORT1	NM_002959	chr1	109888244	SORT1	NM_002959	chr1	109939994	17	10-PAPFWH	+	+
ALL	diagnosis	FLNB	NM_001164317	chr3	57994330	FLNB	NM_001164317	chr3	58072235	27	10-PAPFWH	+	+
ALL	diagnosis			chr4	95643552	BMPR1B	NM_001203	chr4	96012366	61	10-PAPFWH	+	+
ALL	diagnosis	PARP8	NM_001178055	chr5	49964685	PARP8	NM_001178055	chr5	50046892	18	10-PAPFWH	+	+
ALL	diagnosis	TNIP1	NM_006058	chr5	150422435	TENM2	NM_001122679	chr5	166862333	46	10-PAPFWH	+	-
ALL	diagnosis	EBF1	NM_024007	chr5	158437979	EBF1	NM_024007	chr5	158524124	76	10-PAPFWH	+	+
ALL	diagnosis			chr5	162834077	TENM2	NM_001122679	chr5	166857455	35	10-PAPFWH	-	+
ALL	diagnosis	AKIRIN2	NM_018064	chr6	88408955			chr6	88412265	110	10-PAPFWH	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50346005	IKZF1	NM_006060	chr7	50463629	88	10-PAPFWH	+	+
ALL	diagnosis			chr8	62897197	NKAIN3	NM_173688	chr8	63437833	6	10-PAPFWH	+	-
ALL	diagnosis	PAX5	NM_016734	chr9	36989003	PAX5	NM_016734	chr9	37032961	115	10-PAPFWH	+	+
ALL	diagnosis			chr19	37178318	ZNF568	NM_198539	chr19	37427410	117	10-PAPFWH	+	+
ALL	diagnosis	ZMYND8	NM_012408	chr20	45887820			chr20	46130167	103	10-PAPFWH	+	+
ALL	diagnosis	RMDN1	NM_016033	chr8	87520551	CNBD1	NM_173538	chr8	88242930	73	10-PAPGFP	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	37025289	ZCCHC7	NM_032226	chr9	37257771	67	10-PAPGFP	+	+
ALL	diagnosis	GDA	NM_004293	chr9	74860450			chr22	23154804	95	10-PAPGFP	-	+
ALL	diagnosis	ADD3	NM_001121	chr10	111768606	ADD3	NM_001121	chr10	111868802	53	10-PAPGFP	+	+
ALL	diagnosis	HLF	NM_002126	chr17	53396185	TCF3	NM_001136139	chr19	1618376	122	10-PAPGFP	+	-
ALL	diagnosis			chr3	19008830	SV2C	NM_014979	chr5	75469435	7	10-PAPGMV	-	+
ALL	diagnosis	ARID2	NM_152641	chr12	46124326	ARID2	NM_152641	chr12	46148631	14	10-PAPGMV	+	+
ALL	diagnosis	SMAD4	NM_005359	chr18	48573667	SMAD4	NM_005359	chr18	48581149	35	10-PAPGMV	+	+
ALL	diagnosis	FHIT	NM_001166243	chr3	60064857	FHIT	NM_001166243	chr3	60560202	98	10-PAPGNC	+	+
ALL	diagnosis	MEF2C	NM_001131005	chr5	88119278	MEF2C	NM_001131005	chr5	88174996	44	10-PAPGNC	+	+
ALL	diagnosis	HBS1L	NM_001145158	chr6	135366118			chr6	135437659	189	10-PAPGNC	+	+
ALL	diagnosis	C7orf72	NM_001161834	chr7	50163269	IKZF1	NM_006060	chr7	50346009	22	10-PAPGNC	+	+
ALL	diagnosis	TMPRSS9	NM_182973	chr19	2418222	TMPRSS9	NM_182973	chr19	2422734	8	10-PAPGNC	-	+
ALL	diagnosis			chr20	10415651	SLX4IP	NM_001009608	chr20	10456204	90	10-PAPGNC	+	+
ALL	diagnosis	ZMYND8	NM_012408	chr20	45887831			chr20	46130173	88	10-PAPGNC	+	+
ALL	diagnosis	WDR44	NM_001184965	chrX	117481036	WDR44	NM_001184965	chrX	117524899	139	10-PAPGNC	+	+
ALL	relapse	SNTG2	NM_018968	chr2	1255409			chr21	43005785	3	10-PAPGYC	+	+
ALL	relapse	IKZF1	NM_006060	chr7	50345329	IKZF1	NM_006060	chr7	50430265	91	10-PAPGYC	-	+
ALL	relapse			chr16	33953190	CDH13	NM_001257	chr16	83367894	11	10-PAPGYC	-	+
ALL	relapse	EFCAB5	NM_198529	chr17	28420503			chr21	24601047	106	10-PAPGYC	+	+
ALL	relapse	LARGE	NM_004737	chr22	34174731	LARGE	NM_004737	chr22	34302305	96	10-PAPGYC	+	+
ALL	relapse			chrX	1335065	P2RY8	NM_178129	chrX	1655492	43	10-PAPGYC	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50345329	IKZF1	NM_006060	chr7	50430265	70	10-PAPGYC	-	+
ALL	diagnosis	PAX5	NM_016734	chr9	36914241	PAX5	NM_016734	chr9	36961950	5	10-PAPGYC	+	+
ALL	diagnosis	PIK3AP1	NM_152309	chr10	98479573	LCOR	NM_001170765	chr10	98640971	47	10-PAPGYC	+	+
ALL	diagnosis			chrX	1335077	P2RY8	NM_178129	chrX	1655492	33	10-PAPGYC	+	+
ALL	diagnosis	CD200	NM_001004196	chr3	112053605	BTLA	NM_001085357	chr3	112218334	31	10-PAPHCJ	+	+
ALL	diagnosis	HIST1H4H	NM_003543	chr6	26285706	BTN3A2	NM_007047	chr6	26375710	10	10-PAPHCJ	+	+
ALL	diagnosis			chr12	91980886	BTG1	NM_001731	chr12	92538080	43	10-PAPHCJ	+	+
ALL	diagnosis	SLC12A6	NM_001042494	chr15	34587799	NOP10	NM_018648	chr15	34634954	16	10-PAPHCJ	-	+
ALL	diagnosis	CSTF3	NM_001033505	chr11	33182512	HIPK3	NM_001048200	chr11	33342230	69	10-PAPHEK	-	+
ALL	diagnosis	ANKRD13B	NM_152345	chr17	27932926			chr21	15450395	7	10-PAPHEK	-	+
ALL	relapse			chr6	132089890	SLC25A21	NM_001171170	chr14	37594171	6	10-PAPHEK	-	-
ALL	relapse	MAGI2	NM_012301	chr7	78808766			chr13	72650467	38	10-PAPHEK	+	+
ALL	relapse	AGPAT3	NM_001037553	chr21	45394565			chrM	14717	3	10-PAPHEK	-	+
ALL	relapse	CABIN1	NM_012295	chr22	24536603	AP1B1	NM_001127	chr22	29777936	71	10-PAPHEK	+	+
ALL	diagnosis	CXCR4	NM_003467	chr2	136875071			chr2	137068173	61	10-PAPHGD	+	+
ALL	diagnosis	PCYT1A	NM_005017	chr3	195975462			chr7	27207070	36	10-PAPHGD	-	+
ALL	diagnosis			chr7	27207210	AUTS2	NM_001127231	chr7	70020415	73	10-PAPHGD	+	+
ALL	diagnosis	AUTS2	NM_001127231	chr7	70013641	AUTS2	NM_001127231	chr7	70125698	74	10-PAPHGD	+	-
ALL	diagnosis	AUTS2	NM_001127231	chr7	70125661	PAX5	NM_016734	chr9	36954420	126	10-PAPHGD	-	+
ALL	diagnosis	MIR3159	NR_036116	chr9	37793222	DCAF10	NM_024345	chr9	37831617	57	10-PAPHGD	+	-
ALL	diagnosis			chr17	37915787	IKZF3	NM_012481	chr17	38018585	34	10-PAPHGD	+	+
ALL	diagnosis			chrX	1333676	P2RY8	NM_178129	chrX	1654743	15	10-PAPHGD	+	+
ALL	diagnosis			chr1	117042923	CD58	NM_001144822	chr1	117112431	100	10-PAPHJF	+	+
ALL	diagnosis	CD58	NM_001144822	chr1	117086356	CD58	NM_001144822	chr1	117112432	109	10-PAPHJF	+	+
ALL	diagnosis	PBX1	NM_002585	chr1	164754303			chr14	106382675	45	10-PAPHJF	+	-
ALL	diagnosis	PBX1	NM_002585	chr1	164754305	TCF3	NM_001136139	chr19	1617931	142	10-PAPHJF	-	+
ALL	diagnosis	MTAP	NM_002451	chr9	21804217			chr9	22470559	13	10-PAPHJF	+	+
ALL	diagnosis	NBEA	NM_015678	chr13	35711189			chr13	110769747	28	10-PAPHJF	+	+
ALL	diagnosis	ELF1	NM_001145353	chr13	41550348	ELF1	NM_172373	chr13	41592087	123	10-PAPHJF	+	+
ALL	diagnosis			chr14	106329470	TCF3	NM_001136139	chr19	1617933	84	10-PAPHJF	-	-
ALL	diagnosis	IL3RA	NM_002183	chrX	1463071	IL3RA	NM_002183	chrX	1477572	21	10-PAPHJF	-	-
ALL	diagnosis	RPL22	NM_000983	chr1	6258983	RNF207	NM_207396	chr1	6279063	62	10-PAPHMH	+	+
ALL	diagnosis	SPTBN1	NM_003128	chr2	54854166	CYB5D2	NM_144611	chr17	4046537	12	10-PAPHMH	+	+
ALL	diagnosis	AFF1	NM_001166693	chr4	87984017	KMT2A	NM_005933	chr11	118355059	72	10-PAPHMH	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21843553			chr9	22129159	6	10-PAPHMH	+	+
ALL	diagnosis			chr9	21965057	CDKN2A	NM_058195	chr9	21977697	26	10-PAPHMH	+	+
ALL	diagnosis	DOK6	NM_152721	chr18	67143604	DOK6	NM_152721	chr18	67143798	8	10-PAPHMH	+	-
ALL	diagnosis	ARHGEF6	NM_004840	chrX	135752870			chrX	146690227	6	10-PAPHMH	-	+
ALL	diagnosis	B3GNT2	NM_006577	chr2	62424446			chr2	62457428	4	10-PAPHRT	+	+
ALL	diagnosis	PDGFRB	NM_002609	chr5	149524777	EBF1	NM_024007	chr5	158139953	41	10-PAPHRT	+	-
ALL	diagnosis	IKZF1	NM_006060	chr7	50468945	IKZF1	NM_006060	chr7	50469963	85	10-PAPHRT	+	-
ALL	diagnosis	ATAD2B	NM_017552	chr2	23991235			chr2	89277984	11	10-PAPHWH	+	-
ALL	diagnosis			chr5	150143189	SMIM3	NM_032947	chr5	150161858	53	10-PAPHWH	+	+
ALL	diagnosis			chr6	132089890	SLC25A21	NM_001171170	chr14	37594171	6	10-PAPHWH	-	-
ALL	diagnosis			chr8	144016844	GNAS-AS1	NR_002785	chr20	57405260	10	10-PAPHWH	+	+
ALL	diagnosis	ABL1	NM_007313	chr9	133660614	BCR	NM_004327	chr22	23570776	75	10-PAPHWH	-	-
ALL	diagnosis	RBMS2	NM_002898	chr12	56989350	FSIP1	NM_152597	chr15	39994637	129	10-PAPHWH	-	-
ALL	diagnosis	RB1	NM_000321	chr13	48984638	RCBTB2	NM_001268	chr13	49097187	10	10-PAPHWH	+	+
ALL	relapse	ZPBP	NM_001159878	chr7	50126696			chr7	51444855	8	10-PAPIDY	+	+
ALL	relapse	PCMTD1	NM_052937	chr8	52792329			chr8	52875006	34	10-PAPIDY	+	+
ALL	relapse	PAX5	NM_016734	chr9	36929033	PAX5	NM_016734	chr9	37030710	91	10-PAPIDY	+	+
ALL	relapse	NFE2	NM_001136023	chr12	54692010	COPZ1	NM_016057	chr12	54719005	62	10-PAPIDY	+	+
ALL	relapse			chr16	67561549	CTCF	NM_001191022	chr16	67657313	23	10-PAPIDY	+	+
ALL	relapse	MED24	NM_001079518	chr17	38176102	MED24	NM_001079518	chr17	38178204	110	10-PAPIDY	+	+
ALL	diagnosis	RYR2	NM_001035	chr1	237566103	RYR2	NM_001035	chr1	237566207	6	10-PAPIDY	-	+
ALL	diagnosis	MATR3	NM_001194954	chr5	138654871	MATR3	NM_001194954	chr5	138657251	6	10-PAPIDY	+	+
ALL	diagnosis	STK10	NM_005990	chr5	171526021			chr8	144016834	7	10-PAPIDY	-	-
ALL	diagnosis	ZPBP	NM_001159878	chr7	50126696			chr7	51444855	30	10-PAPIDY	+	+
ALL	diagnosis	TOX	NM_014729	chr8	60031551			chr8	60118900	58	10-PAPIDY	+	+
